Trophy,Nombre,Añada,Productor,Paísdecultivo,Regióndecultivo,Categoría,Gusto,Vinificación,Tipodevino,Tipodeuva,Volumendealcohol,Acidez,Azúcarresidual,Azufre,Precioindicativo,Medalla
Asia Wine Trophy 2021,St. Laurent trocken,2018,Cisterzienser Weingut,Alemania,Rheinhessen,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,St. Laurent,13,"5,2","2,8",112,"14,5",Gold
Asia Wine Trophy 2021,Syrah Les Serpentines,2018,Domaine Gérald Besse SA,Suiza,Kanton Wallis,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Syrah,"14,5","5,35","0,5",106,28,Gold
Asia Wine Trophy 2021,Barolo DOCG,2017,Azienda Agricola Roberto Sarotto,Italia,Piemont,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Nebbiolo,"14,5","4,9","2,7",110,25,Gold
Asia Wine Trophy 2021,MERLOT,2018,BRIČ D.O.O.,Eslovenia,Primorje,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,Merlot,"15,3","5,9",2,0,No especificado,Gold
Asia Wine Trophy 2021,VELLUTO ROSSO,2019,Societa Agricola Nativ SRL,Italia,Kampanien,Vino tranquilo,Semi seco,maduración en barrica - parcialmente,tinto,Aglianico,"13,5",6,6,78,"12,2",Gold
Asia Wine Trophy 2021,Jesus Yllera,2016,Bodegas Grupo Yllera,España,Kastilien-León,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Tempranillo, Cabernet Sauvignon",14,"4,77","1,6",49,39,Silver
Asia Wine Trophy 2021,Condominio Crianza,2018,Bodegas Pinna Fidelis,España,Kastilien-León,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Tinto del Pais,"14,5","5,07","1,4",0,"13,5",Gold
Asia Wine Trophy 2021,Tr3smano Vendimia,2018,Lagar de Proventus S.L.,España,Kastilien-León,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Tempranillo,"14,5","5,6","2,5",35,36,Gold
Asia Wine Trophy 2021,Boada Roble,2018,Bodegas Grupo Yllera,España,Kastilien-León,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Tempranillo,14,"5,44","1,5",56,12,Silver
Asia Wine Trophy 2021,Condominio Roble,2019,Bodegas Pinna Fidelis,España,Kastilien-León,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Tinto del Pais,"14,5","4,18","1,5",0,"7,8",Gold
Asia Wine Trophy 2021,Altos de Aranda,2016,Long Wines,España,Kastilien-León,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Tempranillo,"14,4","4,9","1,7",85,"9,5",Gold
Asia Wine Trophy 2021,Pepe Yllera,2018,Bodegas Grupo Yllera,España,Kastilien-León,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Tempranillo, Cabernet Sauvignon",14,"4,82",2,38,14,Gold
Asia Wine Trophy 2021,GOUMENISSA Chatzivaritis Estate,2017,Chatzivaritis Winery,Grecia,Makedonien,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Xynomavro, Negoska","13,5","5,5","2,1",95,"16,15",Silver
Asia Wine Trophy 2021,Castel Mimi The Governor's Blend,2018,Castel Mimi SRL,Moldavia,Codru,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Saperavi, Cabernet Sauvignon, Fetească Neagră",15,"5,7","2,2","70,5",6,Gold
Asia Wine Trophy 2021,Quinta dos Monteirinhos Manel Chaves,2018,"Quinta dos Monteirinhos, Lda",Portugal,Dão,Vino tranquilo,afrutado,maduración en barrica - parcialmente,tinto,Touriga Nacional,"14,5","5,54","0,4",29,"25,43",Gold
Asia Wine Trophy 2021,Raices Reserva,2016,Bodegas Fernando Castro,España,Castilla La Mancha,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Tempranillo,"12,7","5,07","3,9",109,6,Gold
Asia Wine Trophy 2021,AMARONE FALEZZE,2015,Azienda Agricola Falezze di Luca Anselmi,Italia,Veneto,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Rondinella, Oseleta, Corvinone, Corvina Veronese","15,5","5,45","3,1",85,70,Gold
Asia Wine Trophy 2021,douro's new legacy reserva,2018,"Menin Douro Estates , Lda",Portugal,Douro,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Cuvée, Touriga Franca",14,"5,7","0,4",135,25,Gold
Asia Wine Trophy 2021,Boeira 40  Years Old Tawny Port,sin añada,Quinta da Boeira,Portugal,Douro,Vino de Oporto,dulce,maduración en barrica - 100%,tinto,"Tinta Roriz, Tinta Cao, Touriga Nacional, Touriga Franca","19,82","3,92",115,49,90,Gold
Asia Wine Trophy 2021,Boeira Colheita 2005,2005,Quinta da Boeira,Portugal,Douro,Vino de Oporto,dulce,maduración en barrica - 100%,tinto,"Tinta Cao, Tinta Roriz, Tinta Barocca, Touriga Nacional, Touriga Franca","19,86","3,7",102,36,35,Gold
Asia Wine Trophy 2021,Quinta da Devesa Tinto Superior Touriga Nacional,2017,Soc Agricola Quinta da Devesa,Portugal,Douro,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,Touriga Nacional,14,"5,7","0,6",81,15,Gold
Asia Wine Trophy 2021,Toscana Rosso IGT - Vecchia Corona,2015,Casa Vinicola Bartali SRL,Italia,Toscana,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Sangiovese,"13,5","5,5","1,6",116,"5,25",Gold
Asia Wine Trophy 2021,Tempranillo,2020,Bodega Unión Campesina Iniestense,España,Kastilien-La Mancha,Vino tranquilo,Seco,tanque de acero,tinto,Tempranillo,"13,41","5,13","1,11",62,6,Silver
Asia Wine Trophy 2021,Syrah,2020,Bodega Unión Campesina Iniestense,España,Kastilien-La Mancha,Vino tranquilo,Seco,Hormigón,tinto,Syrah,"13,44","5,15","1,05",70,10,Silver
Asia Wine Trophy 2021,Tempranillo,2020,Bodega Unión Campesina Iniestense,España,Kastilien-La Mancha,Vino tranquilo,Seco,tanque de acero,tinto,Tempranillo,14,"4,47","1,5",65,5,Gold
Asia Wine Trophy 2021,Tempranillo,2020,Bodega Unión Campesina Iniestense,España,Kastilien-La Mancha,Vino tranquilo,Seco,tanque de acero,tinto,Tempranillo,"13,4","5,13","1,11",85,4,Gold
Asia Wine Trophy 2021,Monte Formigão,2018,Maria Rita Falcão Ramos,Portugal,Beiras,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,Baga,14,"5,12","0,8",96,"9,5",Gold
Asia Wine Trophy 2021,TERRRAE Finca Vasallo,2020,Bodegas Tempore,España,Aragonien,Vino tranquilo,Seco,tanque de acero,tinto,Garnacha,"14,48","4,6",2,46,"6,5",Gold
Asia Wine Trophy 2021,Bobal de Sanjuan,2020,Cherubino Valsangiacomo,España,Valencia,Vino tranquilo,Seco,Hormigón,tinto,Bobal,"13,5","3,53","0,34",96,10,Gold
Asia Wine Trophy 2021,Marqués de Verdellano Tinto Reserva,2017,Bodegas Coviñas,España,Valencia,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Cabernet Sauvignon, Garnacha, Tempranilla, Bobal",13,"5,1","3,6",100,"3,75",Gold
Asia Wine Trophy 2021,Requevin Tinto Gran Reserva,2015,Bodegas Coviñas,España,Valencia,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Tempranilla, Garnacha, Bobal, Cabernet Sauvignon",13,"5,1","3,6",880,"4,5",Silver
Asia Wine Trophy 2021,Marqués de Verdellano Tinto Gran Reserva,2015,Bodegas Coviñas,España,Valencia,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Tempranilla, Garnacha, Bobal, Cabernet Sauvignon",13,"5,15","3,4",880,"4,5",Silver
Asia Wine Trophy 2021,Marqués de Verdellano Tinto Crianza,2018,Bodegas Coviñas,España,Valencia,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Bobal, Tempranilla","12,5","5,1",4,103,3,Gold
Asia Wine Trophy 2021,Land of Basarabia Barrique Silver,2016,Good Season SRL,Moldavia,Stefan Voda PGI,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Cabernet Sauvignon,"13,1","5,2","1,6",74,18,Gold
Asia Wine Trophy 2021,Lasendal,2019,Celler De Capçanes Sccl,España,Katalonien,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Syrah, Garnatxa Negra, Merlot","14,5","5,2","1,4",54,"8,5",Gold
Asia Wine Trophy 2021,POSTA PIANA NERO DI TROIA,2019,Vinolea Paradiso,Italia,Apulien,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,Uva di Troia,14,"6,1","8,2",92,8,Gold
Asia Wine Trophy 2021,ANGELO PRIMO,2019,Vinolea Paradiso,Italia,Apulien,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Uva di Troia,15,"6,81","13,9",113,25,Gold
Asia Wine Trophy 2021,Talò Primitivo di Manduria Dop,2020,Cantine San Marzano,Italia,Apulien,Vino tranquilo,Semi seco,maduración en barrica - 100%,tinto,Primitivo,14,"5,9",12,115,"12,9",Gold
Asia Wine Trophy 2021,Gocce Primitivo di Manduria DOP,2017,Varvaglione Vigne e Vini,Italia,Apulien,Vino tranquilo,Semi seco,maduración en barrica - 100%,tinto,Primitivo,"14,5","6,2",13,170,25,Gold
Asia Wine Trophy 2021,"Feudo Croce - Primitivo di Manduria DOP ""Imperio""",2019,San Giorgio s.r.l.,Italia,Apulien,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Primitivo,"14,5","5,85",4,103,21,Silver
Asia Wine Trophy 2021,Palacio del Conde Gran Reserva,2014,Anecoop,España,Valencia,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Tempranillo,14,"5,2",4,100,"14,9",Gold
Asia Wine Trophy 2021,El Sierro Reserva,2017,Anecoop,España,Valencia,Vino tranquilo,Seco,No especificado,tinto,"Tempranillo, Cabernet Sauvignon",14,"5,8",4,120,"12,9",Silver
Asia Wine Trophy 2021,BTT FAMILY RESERVE CARMENERE,2018,Bodegas Tagua Tagua SPA,Chile,Valle Central,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Cabernet Sauvignon, Syrah","14,2","3,7","2,05","0,15","24,99",Gold
Asia Wine Trophy 2021,BTT FAMILY RESERVE CABERNET SAUVIGNON,2018,Bodegas Tagua Tagua SPA,Chile,Valle Central,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Cabernet Sauvignon, Syrah","14,4","3,72","2,36","0,15","24,99",Gold
Asia Wine Trophy 2021,CHATEAU MONESTIER LA TOUR GRAND VIN,2018,SCEA Monestier la Tour,Francia,South West France,Vino tranquilo,afrutado,maduración en barrica - 100%,tinto,"Malbec, Cabernet Franc, Merlot","14,5","3,25",0,65,"19,5",Gold
Asia Wine Trophy 2021,"""Ried Weitgasse""",2019,Weingut Eder,Austria,Kremstal,Vino tranquilo,Seco,tanque de acero,tinto,Zweigelt,13,6,1,45,"7,3",Gold
Asia Wine Trophy 2021,Rösler Barrique,2019,Weingut Steyrer Bernhard,Austria,Traisental,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Roesler,"13,9","5,4",1,59,10,Gold
Asia Wine Trophy 2021,LA TRIBUNA,2020,Viveros Cambra SAT 7207,España,Valencia,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Shiraz, Garnacha, Monastrell","13,5","5,23","2,38",66,"4,65",Silver
Asia Wine Trophy 2021,"Nero d'Avola Sicilia DOP ""Nero di stelle"" - Andrero",2019,Alibrianza srl/Cascina Radice,Italia,Sizilien,Vino tranquilo,Seco,No especificado,tinto,Nero d´Avola,14,"5,5","6,5",120,"7,9",Gold
Asia Wine Trophy 2021,Thamathà,2018,Crea Vini s.r.l.,Italia,Sizilien,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,Nero d´Avola,"14,65","5,4","4,5",100,7,Gold
Asia Wine Trophy 2021,"Nero d'Avola Sicilia DOP ""66 Botticelle"" - Andrero",2019,Alibrianza srl/Cascina Radice,Italia,Sizilien,Vino tranquilo,Seco,No especificado,tinto,Nero d´Avola,"14,5","5,5","7,3",115,"8,9",Gold
Asia Wine Trophy 2021,CHÂTEAU DE BACCHUS,2019,SCEA JNJ CHATEAU DE BACCHUS,Francia,Rhône,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Carignan, Grenache, Syrah","14,5","3,52",2,66,"29,88",Gold
Asia Wine Trophy 2021,CHAPELLE DE BACCHUS,2019,SCEA JNJ CHATEAU DE BACCHUS,Francia,Rhône,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Grenache, Syrah","14,5","3,53","1,9",83,"17,88",Gold
Asia Wine Trophy 2021,Unsi Terrazas Red,2018,Anecoop,España,Navarra,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,Grenache,15,"5,25","0,7",100,15,Gold
Asia Wine Trophy 2021,Agramont gran reserva,2014,Bodegas Agronavarra,España,Navarra,Vino tranquilo,Seco,tanque de acero,tinto,"Merlot, Tempranilla, Cabernet Sauvignon","13,5","5,25","2,1",100,11,Gold
Asia Wine Trophy 2021,Dominio de Unx Garnacha Old Vines,2019,Anecoop,España,Navarra,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Grenache,"14,5","5,7",2,122,12,Gold
Asia Wine Trophy 2021,1864 Castillo de Olite Reserva,2016,Bodegas Manzanos,España,Navarra,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Cabernet Sauvignon, Garnacha, Tempranillo",14,5,"1,4",98,"12,13",Gold
Asia Wine Trophy 2021,Pedro de Ivar Crianza,2014,Bodegas Escudero,España,Navarra,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Tempranillo,"13,6","5,2",2,45,6,Gold
Asia Wine Trophy 2021,La Calma Mágica Red,2017,Anecoop,España,Navarra,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Garnacha,"14,5","5,2","2,3",105,15,Gold
Asia Wine Trophy 2021,^Pleno gran reserva,2013,Bodegas Agronavarra,España,Navarra,Vino tranquilo,Seco,tanque de acero,tinto,"Cabernet Sauvignon, Tempranilla, Merlot","13,5","5,3","2,3",98,"9,5",Gold
Asia Wine Trophy 2021,Léon Parcé,2019,Domaine de La Rectorie,Francia,Roussillon,Vino licoroso,dulce,maduración en barrica de madera,tinto,"Grenache, Carignan","17,5","4,22","83,5",31,"24,5",Gold
Asia Wine Trophy 2021,Léon Parcé,2018,Domaine de La Rectorie,Francia,Roussillon,Vino licoroso,dulce,maduración en barrica de madera,tinto,"Grenache, Carignan",17,4,101,16,20,Gold
Asia Wine Trophy 2021,Marzagaglia,2017,Tenuta Patruno Perniola - Az. Agr. Paolo Patruno,Italia,Apulien,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,Primitivo,"14,3","5,39","8,84",110,18,Gold
Asia Wine Trophy 2021,AMARONE DELLA VALPOLICELLA DOCG FLAVS,2018,Corte Allodola S.r.l.,Italia,Veneto,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Croatina, Corvina, Rondinella",16,4,5,80,25,Gold
Asia Wine Trophy 2021,Amarone della Valpolicella DOCG Vallis Dei,2018,Valpantena Wines SPA,Italia,Veneto,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Corvina Veronese, Rondinella",15,"5,6","5,5",103,"15,2",Gold
Asia Wine Trophy 2021,Amarone Falezze,2013,Azienda Agricola Falezze di Luca Anselmi,Italia,Veneto,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Rondinella, Oseleta, Corvinone, Corvina","15,5","5,26","3,89",53,70,Gold
Asia Wine Trophy 2021,"AMARONE DELLA VALPOLICELLA DOCG ""CAMPI LUNGHI""",2016,Azienda Agricola I Campi,Italia,Veneto,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Croatina, Corvinone, Rondinella","15,5","3,42",4,90,37,Gold
Asia Wine Trophy 2021,AMARONE DELLA VALPOLICELLA CLASSICO,2018,Brunelli Luigi,Italia,Veneto,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Corvinone, Corvina Veronese, Rondinella",15,"5,84","5,9",164,45,Gold
Asia Wine Trophy 2021,Amarone della Valpolicella DOCG Pagus Bisano,2018,Valpantena Wines SPA,Italia,Veneto,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Corvina Veronese, Rondinella",15,"5,6","5,5",103,"15,2",Gold
Asia Wine Trophy 2021,Gémina Selección Monastrell,2019,"Bodegas Coop. San Isidro de Jumilla, Soc. Coop.",España,Murcia,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Monastrell,14,"4,95","2,7",88,9,Gold
Asia Wine Trophy 2021,Gémina Finca los Tomillares,2018,"Bodegas Coop. San Isidro de Jumilla, Soc. Coop.",España,Murcia,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Monastrell,15,"5,01","2,3",129,29,Gold
Asia Wine Trophy 2021,Mirade Rouge,2019,Vignobles Dom Brial,Francia,Languedoc-Roussillon,Vino tranquilo,Seco,tanque de acero,tinto,"Mourvedre, Syrah, Grenache","15,05","2,96","0,7",55,11,Gold
Asia Wine Trophy 2021,Château Les Pins Rouge,2016,Vignobles Dom Brial,Francia,Languedoc-Roussillon,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Mourvedre, Syrah, Grenache","14,5","3,59","0,6",61,"14,7",Gold
Asia Wine Trophy 2021,DSM VIN D'ALTITUDE,2019,SAS Jeff Carrel,Francia,Languedoc-Roussillon,Vino tranquilo,Seco,Hormigón,tinto,"Carignan, Lledoner Pelut, Syrah, Grenache","13,55","3,36","0,32",81,"13,9",Silver
Asia Wine Trophy 2021,Huno,2017,PAGO LOS BALANCINES,España,Extremadura,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Graciano, Tempranillo, Garnacha Tintorera",14,"5,26","1,14",0,15,Gold
Asia Wine Trophy 2021,Bisiesto Tempranillo Crianza,2015,Bodega Soledad,España,Kastilien-La Mancha,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Tempranillo,"13,5","5,28",1,105,10,Gold
Asia Wine Trophy 2021,Impression Gobi（craft）Cabernet sauvignon organic,2016,Changji Impression Gobi Winery Co. Ltd,China,Xinjiang Autonomous Region,Vino tranquilo,Seco,tanque de acero,tinto,Cabernet Sauvignon,"13,5",5,"3,1",0,"22,09",Gold
Asia Wine Trophy 2021,"""Zeresimo""",2017,Fosso Corno Società Agricola Semplice,Italia,Abruzzo,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Montepulciano d´ Abruzzo, Merlot","13,45","4,65",6,70,8,Gold
Asia Wine Trophy 2021,Rectoral de Amandi Barrica Edición Limitada Manolo Arnoya  Bodegas Rectoral de Amandi,2017,"Bodegas Rectoral de Amandi, S.A.U",España,Galicien,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Caíno Tinto, Mencía, Sousón","13,9",5,"0,9",75,"19,9",Gold
Asia Wine Trophy 2021,TOPO 4,2020,Estancia Piedra S.L.,España,Kastilien-León,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,Tinto de Toro,"14,5","4,74","1,5",35,14,Gold
Asia Wine Trophy 2021,Castillo de Monte la Reina Crianza,2017,Bodegas Monte la Reina,España,Kastilien-León,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Tinto de Toro,"14,5","5,3","2,6",90,9,Silver
Asia Wine Trophy 2021,Sentero Roble,2020,Pagos del Rey (Toro),España,Kastilien-León,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,Tinto de Toro,"14,5","4,9",4,200,"7,9",Gold
Asia Wine Trophy 2021,Château Grand Mazerolles,2018,Vignobles Luc Schweitzer,Francia,Bordeaux,Vino tranquilo,Seco,tanque de acero,tinto,Merlot,14,"3,18","0,2",59,"6,5",Gold
Asia Wine Trophy 2021,Château Grand Mazerolles,2019,Vignobles Luc Schweitzer,Francia,Bordeaux,Vino tranquilo,Seco,tanque de acero,tinto,Merlot,14,"3,18","0,2",58,"6,5",Gold
Asia Wine Trophy 2021,Château Grand Moulin,2018,Les Vignerons d'Uni-Médoc,Francia,Bordeaux,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Merlot, Cabernet Sauvignon","14,1","3,37","0,3",61,"11,5",Gold
Asia Wine Trophy 2021,Château La Tonnelle,2018,Domaines Fabre En Haut - Médoc,Francia,Bordeaux,Vino tranquilo,afrutado,maduración en barrica de madera,tinto,"Petit Verdot, Cabernet Sauvignon, Merlot","13,5","3,36",0,"3,36",14,Gold
Asia Wine Trophy 2021,Búho Tempranillo,2019,Quinta de Aves S.L.,España,Ciudad Real,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Cencibel,"14,5","5,7","3,3","0,64","4,95",Silver
Asia Wine Trophy 2021,Puerto del Monte,2019,Bodegas Adriá,España,Kastilien-León,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,Mencía,"14,2","5,22","0,8","0,27",9,Silver
Asia Wine Trophy 2021,SECUA MERLOT,2016,"Finca la Estacada, S.L.",España,Kastilien-La Mancha,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Merlot,"14,5","6,02","0,4",58,"15,5",Gold
Asia Wine Trophy 2021,ROSSO VENETO IGT FLAVS,2019,Corte Allodola S.r.l.,Italia,Veneto,Vino tranquilo,Seco,tanque de acero,tinto,"Cabernet, Corvina, Merlot",14,3,4,80,18,Gold
Asia Wine Trophy 2021,EL BALON RIPASSO,2018,International Wine Group SRL,Italia,Veneto,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Molinara, Corvina Veronese, Rondinella",14,"5,5","6,8",100,4,Gold
Asia Wine Trophy 2021,Valpolicella Ripasso Superiore Falezze,2014,Azienda Agricola Falezze di Luca Anselmi,Italia,Veneto,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Rondinella, Oseleta, Corvina Veronese, Corvinone",14,"5,37","2,84",70,45,Gold
Asia Wine Trophy 2021,VALPOLICELLA RIPASSO DOC SUPERIORE- BIOLOGICO,2018,Azienda Agricola I Campi,Italia,Veneto,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Croatina, Corvina, Rondinella","13,5","3,42",4,60,"12,5",Silver
Asia Wine Trophy 2021,Valpolicella Ripasso Pariondo,2018,Brunelli Luigi,Italia,Veneto,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Corvinone, Corvina Veronese, Rondinella",14,"5,54","5,3",170,29,Gold
Asia Wine Trophy 2021,ALEXANDRIDE ESTATE - SYRAH,2013,Alexandride Estate,Grecia,Makedonien,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Syrah,"14,2","6,15","1,6",48,"10,85",Silver
Asia Wine Trophy 2021,"Coto de Hayas Garnacha Centenaria, tinto",2019,Bodegas Aragonesas,España,Aragonien,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Garnacha,"14,4","5,5","3,1",122,"12,99",Gold
Asia Wine Trophy 2021,"Aragonia Seleccion Especial, tinto",2018,Bodegas Aragonesas,España,Aragonien,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Garnacha,"14,3",5,"2,8",125,"14,99",Gold
Asia Wine Trophy 2021,"MONTEMAZZANO, CORVINA VERONESE IGT",2018,Vigneti Villabella,Italia,Veneto,Vino tranquilo,Seco,tanque de acero,tinto,Corvina Veronese,"13,75","5,11","7,1",112,"12,5",Silver
Asia Wine Trophy 2021,VILLA DES ANGES RESERVE,2019,SAS Jeff Carrel,Francia,Languedoc-Roussillon,Vino tranquilo,Semi seco,maduración en barrica de madera,tinto,"Syrah, Cabernet Sauvignon, Merlot","13,86","3,31","10,27",88,"7,7",Gold
Asia Wine Trophy 2021,Carinena DO Reserva II,2018,Bodegas Paniza,España,Aragonien,Vino tranquilo,Seco,No especificado,tinto,Tempranillo,"13,5","5,1",1,137,No especificado,Gold
Asia Wine Trophy 2021,GABARDA SELECION,2017,Bodegas Gabarda,España,Aragonien,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Carinena, Garnacha","14,5","3,15","2,4",78,4,Gold
Asia Wine Trophy 2021,LONGUS,2014,Dominio de Longaz sl,España,Aragonien,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Merlot, Shiraz, Cabernet Sauvignon","14,5","5,3","2,1",138,12,Gold
Asia Wine Trophy 2021,Dominio de Longaz,2014,Dominio de Longaz sl,España,Aragonien,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Merlot, Syrah, Cabernet Sauvignon","14,5","6,2","3,1",112,"11,5",Gold
Asia Wine Trophy 2021,Beso de Vino Garnacha Viñas Viejas,2019,Grandes Vinos y Vinedos S.A.,España,Aragonien,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,Garnacha,14,"5,62","1,25",0,No especificado,Gold
Asia Wine Trophy 2021,Particular Garnacha Old Vine,2018,Bodegas San Valero,España,Aragonien,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Garnacha,14,"3,2",2,2,"6,2",Gold
Asia Wine Trophy 2021,Gran Reserva Carinena,2015,Bodegas Paniza,España,Aragonien,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Garnacha, Cabernet Sauvignon, Tempranillo","13,5","5,05",1,141,8,Gold
Asia Wine Trophy 2021,NOA Areni Red,2017,Noah of Areni LLC,Armenia,Vayots Dzor,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,Areni,"14,5","5,2","1,1",55,20,Gold
Asia Wine Trophy 2021,Pontual Grande Reserva,2018,"PLC - Companhia de Vinhos do Alandroal, Lda.",Portugal,Alentejo,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Alicante Bouschet,"14,5","5,5","0,6",131,15,Silver
Asia Wine Trophy 2021,Porta da Ravessa Special Edition,2019,Adega Cooperativa de Redondo,Portugal,Alentejo,Vino tranquilo,Seco,tanque de acero,tinto,"Alicante Bouschet, Syrah, Aragonez","13,5","5,4","0,7",0,"2,5",Gold
Asia Wine Trophy 2021,Aliats,2020,Bodegas Enguera,España,Valencia,Vino tranquilo,Semi seco,tanque de acero,tinto,"Monastrell, Marselan","13,5","5,46","0,75",105,"8,5",Silver
Asia Wine Trophy 2021,BARON DE TURIS RESERVA,2017,La Baronia de Turis,España,Valencia,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Tempranillo,13,"5,1",2,115,"3,2",Silver
Asia Wine Trophy 2021,Vignobles Bonfils - Château Vaugelas,2020,Bonfils,Francia,Languedoc-Roussillon,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Mourvedre, Syrah, Carignan","15,43","54,04","0,17","54,04",10,Gold
Asia Wine Trophy 2021,"Vignobles Bonfils - Château Vaugelas cuvée ""Prestige""",2019,Bonfils,Francia,Languedoc-Roussillon,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Carignan, Mourvedre, Syrah, Grenache","14,86","68,92","0,07","68,92",10,Gold
Asia Wine Trophy 2021,QUATTRONOTTI,2020,Montemajor SRL,Italia,Apulien,Vino tranquilo,Semi seco,tanque de acero,tinto,Negroamaro,"14,5","5,5","6,7",100,"9,2",Gold
Asia Wine Trophy 2021,"Negroamaro Primitivo IGT Puglia ""Amatè""",2020,Losito e Guarini,Italia,Apulien,Vino tranquilo,semi dulce,maduración en barrica de madera,tinto,"Negroamaro, Primitivo","14,28","5,6",16,70,"6,9",Gold
Asia Wine Trophy 2021,Alpha Estate Xinomavro Single Vineyard Hedgehog,2018,Alpha Estate,Grecia,Makedonien,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Xynomavro,"13,87","7,32","2,6",101,"14,9",Gold
Asia Wine Trophy 2021,PURO Caves Rendeiro Cabernet Sauvignon,2017,Caves Rendeiro - Soc. Comercial de Vinhos Lda,Portugal,Estremadura,Vino tranquilo,Semi seco,No especificado,tinto,Cabernet Sauvignon,15,"6,09","0,8",79,"3,5",Gold
